frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.proto,tcp.len
"0.000000000","172.16.69.226","172.16.69.2",,,"17",
"0.000195000","172.16.69.226","172.16.69.2",,,"17",
"0.000391000","172.16.69.226","172.16.69.2",,,"17",
"0.006188000","172.16.69.226","172.16.69.2",,,"17",
"0.035068000","172.16.69.2","172.16.69.226",,,"17",
"0.035086000","172.16.69.2","172.16.69.226",,,"17",
"0.035087000","172.16.69.2","172.16.69.226",,,"17",
"0.043122000","172.16.69.2","172.16.69.226",,,"17",
"0.043960000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.067812000","216.58.216.196","172.16.69.226","443","53853","6","0"
"0.067851000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.068189000","172.16.69.226","216.58.216.196","53853","443","6","188"
"0.068723000","216.58.216.196","172.16.69.226","443","53853","6","0"
"0.123870000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.123894000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.123994000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.124001000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.124050000","216.58.216.196","172.16.69.226","443","53853","6","676"
"0.124055000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.140679000","172.16.69.226","216.58.216.196","53853","443","6","126"
"0.140972000","172.16.69.226","216.58.216.196","53853","443","6","157"
"0.141023000","216.58.216.196","172.16.69.226","443","53853","6","0"
"0.141086000","172.16.69.226","216.58.216.196","53853","443","6","435"
"0.141128000","216.58.216.196","172.16.69.226","443","53853","6","0"
"0.143916000","216.58.216.196","172.16.69.226","443","53853","6","0"
"0.176255000","216.58.216.196","172.16.69.226","443","53853","6","246"
"0.176348000","216.58.216.196","172.16.69.226","443","53853","6","56"
"0.176571000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.176624000","216.58.216.196","172.16.69.226","443","53853","6","42"
"0.176687000","172.16.69.226","216.58.216.196","53853","443","6","38"
"0.177412000","216.58.216.196","172.16.69.226","443","53853","6","0"
"0.197990000","216.58.216.196","172.16.69.226","443","53853","6","38"
"0.236090000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.290521000","216.58.216.196","172.16.69.226","443","53853","6","548"
"0.290546000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.291188000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.291200000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.291794000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.291803000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.294063000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.294075000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.294121000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.294128000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.294167000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.294172000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.294249000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.294301000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.295730000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.295740000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.295786000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.296284000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.296294000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.296338000","216.58.216.196","172.16.69.226","443","53853","6","88"
"0.296523000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.296580000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.297026000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.297034000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.297804000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.299376000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.299387000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.300491000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.300499000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.300503000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.301206000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.301215000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.301218000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.302317000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.302323000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.302327000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.303263000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.303907000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.303928000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.306758000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.306771000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.306778000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.306816000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.306818000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.306820000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.306821000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.306823000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.306960000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.307004000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.313359000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.313374000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.313411000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.313414000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.313416000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.313417000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.313418000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.313419000","216.58.216.196","172.16.69.226","443","53853","6","1418"
"0.313420000","216.58.216.196","172.16.69.226","443","53853","6","1210"
"0.313503000","172.16.69.226","216.58.216.196","53853","443","6","0"
"0.314255000","172.16.69.226","216.58.216.196","53853","443","6","46"
