frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.proto,tcp.len
"0.000000000","172.16.69.226","54.230.89.237","59478","443","6","0"
"0.000182000","54.230.89.237","172.16.69.226","443","59478","6","0"
"0.902489000","172.16.69.226","216.58.216.206","45755","80","6","0"
"0.910849000","172.16.69.226","173.194.46.81","36694","80","6","593"
"0.911332000","173.194.46.81","172.16.69.226","80","36694","6","0"
"0.926857000","216.58.216.206","172.16.69.226","80","45755","6","0"
"0.926897000","172.16.69.226","216.58.216.206","45755","80","6","0"
"0.960575000","173.194.46.81","172.16.69.226","80","36694","6","496"
"0.960604000","172.16.69.226","173.194.46.81","36694","80","6","0"
"0.966456000","172.16.69.226","173.194.46.81","55551","443","6","105"
"0.966973000","173.194.46.81","172.16.69.226","443","55551","6","0"
"1.084220000","173.194.46.81","172.16.69.226","443","55551","6","278"
"1.084847000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.084863000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.087573000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.087588000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.087598000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.087671000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.087676000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.087678000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.087779000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.087836000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.089734000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.089744000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.089787000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.089790000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.089794000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.089837000","173.194.46.81","172.16.69.226","443","55551","6","67"
"1.090734000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.090745000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.090805000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.090809000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.090813000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.091659000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.092627000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.092638000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.093268000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.093681000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.093689000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.093937000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.094668000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.094677000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.095662000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.095730000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.095736000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.096037000","173.194.46.81","172.16.69.226","443","55551","6","1172"
"1.096043000","173.194.46.81","172.16.69.226","443","55551","6","256"
"1.096098000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.097700000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.097707000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.097710000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.097743000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.097745000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.097794000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.098577000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.098839000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.098845000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.098878000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.099659000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.099667000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.102332000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.102350000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.102358000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.102413000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.102416000","173.194.46.81","172.16.69.226","443","55551","6","1302"
"1.102418000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.102506000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.103664000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.104128000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.104136000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.104422000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.104428000","173.194.46.81","172.16.69.226","443","55551","6","428"
"1.104431000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.107669000","173.194.46.81","172.16.69.226","443","55551","6","46"
"1.107809000","172.16.69.226","173.194.46.81","55551","443","6","46"
"1.110866000","173.194.46.81","172.16.69.226","443","55551","6","0"
"1.310550000","172.16.69.226","173.194.46.81","55551","443","6","565"
"1.310912000","173.194.46.81","172.16.69.226","443","55551","6","0"
"1.331342000","173.194.46.81","172.16.69.226","443","55551","6","58"
"1.331356000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.331365000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.334745000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.334754000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.334759000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.334795000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.334798000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.334800000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.334801000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.334803000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.334804000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.334889000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.335649000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.336465000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.336473000","172.16.69.226","173.194.46.81","55551","443","6","0"
"1.336514000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.337411000","173.194.46.81","172.16.69.226","443","55551","6","1418"
"1.337422000","172.16.69.226","173.194.46.81","55551","443","6","0"
