frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.proto,tcp.len
"0.000000000","195.154.9.161","172.16.69.226","443","37405","6","543"
"0.000029000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.123109000","195.154.9.161","172.16.69.226","443","37405","6","1086"
"0.123175000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.274428000","172.16.69.226","195.154.9.161","37405","443","6","1057"
"0.275006000","195.154.9.161","172.16.69.226","443","37405","6","0"
"0.791694000","195.154.9.161","172.16.69.226","443","37405","6","543"
"0.791716000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.792808000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.792817000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.793037000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.793044000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.807968000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.807992000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.808044000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.808049000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.808995000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.809006000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.908270000","195.154.9.161","172.16.69.226","443","37405","6","1460"
"0.908288000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.908332000","195.154.9.161","172.16.69.226","443","37405","6","1436"
"0.908337000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.916940000","195.154.9.161","172.16.69.226","443","37405","6","1346"
"0.916956000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.916993000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.916997000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.917244000","172.16.69.226","195.154.9.161","37405","443","6","543"
"0.917289000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.917827000","195.154.9.161","172.16.69.226","443","37405","6","0"
"0.925871000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.925890000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.925940000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.928546000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.928565000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.933891000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.933908000","195.154.9.161","172.16.69.226","443","37405","6","1448"
