frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.proto,tcp.len
"0.000000000","172.16.69.226","195.154.9.161","37405","443","6","1057"
"0.003637000","195.154.9.161","172.16.69.226","443","37405","6","0"
"0.600748000","195.154.9.161","172.16.69.226","443","37405","6","543"
"0.600770000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.600812000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.600818000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.601570000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.601577000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.601626000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.601630000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.602358000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.602365000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.602404000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.602408000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.626917000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.626938000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.626984000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.626988000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.630055000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.630068000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.639601000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.639616000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.727646000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.727669000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.727722000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.727728000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.727767000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.727772000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.728100000","172.16.69.226","195.154.9.161","37405","443","6","543"
"0.728161000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.728375000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.728384000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.728458000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.729850000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.729860000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.729894000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.730334000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.730343000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.731192000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.731201000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.731204000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.731593000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.738711000","172.16.69.226","195.154.9.161","37405","443","6","1057"
"0.739602000","195.154.9.161","172.16.69.226","443","37405","6","0"
"0.749584000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.750276000","172.16.69.226","195.154.9.161","37405","443","6","1057"
"0.750369000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.750372000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.750373000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.750373000","195.154.9.161","172.16.69.226","443","37405","6","0"
"0.750379000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.750771000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.750775000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.751250000","172.16.69.226","195.154.9.161","37405","443","6","1057"
"0.751353000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.751355000","195.154.9.161","172.16.69.226","443","37405","6","0"
"0.787576000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.848082000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.848318000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.848331000","172.16.69.226","195.154.9.161","37405","443","6","0"
