frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.proto,tcp.len
"0.693260000","172.16.69.226","173.194.46.68","48022","443","6","0"
"0.693546000","172.16.69.226","172.16.69.2",,,"17",
"0.695349000","216.58.216.195","172.16.69.226","443","39412","6","0"
"0.695366000","172.16.69.226","216.58.216.195","39412","443","6","0"
"0.695554000","172.16.69.226","216.58.216.195","39412","443","6","517"
"0.696142000","216.58.216.195","172.16.69.226","443","39412","6","0"
"0.705263000","172.16.69.2","172.16.69.226",,,"17",
"0.715057000","173.194.46.68","172.16.69.226","443","48022","6","0"
"0.715085000","172.16.69.226","173.194.46.68","48022","443","6","0"
"0.715155000","209.85.146.106","172.16.69.226","443","47170","6","49"
"0.715160000","209.85.146.106","172.16.69.226","443","47170","6","38"
"0.715173000","209.85.146.106","172.16.69.226","443","47170","6","46"
"0.716571000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.716658000","172.16.69.226","209.85.146.106","47170","443","6","46"
"0.716872000","172.16.69.226","173.194.46.68","48022","443","6","517"
"0.716919000","209.85.146.106","172.16.69.226","443","47170","6","0"
"0.719851000","173.194.46.68","172.16.69.226","443","48022","6","0"
"0.726935000","216.58.216.195","172.16.69.226","443","39412","6","146"
"0.726954000","172.16.69.226","216.58.216.195","39412","443","6","0"
"0.726992000","172.16.69.2","172.16.69.226",,,"17",
"0.727295000","172.16.69.226","216.58.216.195","39412","443","6","51"
"0.727470000","172.16.69.226","216.58.216.195","39412","443","6","157"
"0.727539000","216.58.216.195","172.16.69.226","443","39412","6","0"
"0.727541000","216.58.216.195","172.16.69.226","443","39412","6","0"
"0.740488000","173.194.46.68","172.16.69.226","443","48022","6","146"
"0.740507000","172.16.69.226","173.194.46.68","48022","443","6","0"
"0.740821000","172.16.69.226","173.194.46.68","48022","443","6","51"
"0.741000000","172.16.69.226","173.194.46.68","48022","443","6","157"
"0.741070000","173.194.46.68","172.16.69.226","443","48022","6","0"
"0.741073000","173.194.46.68","172.16.69.226","443","48022","6","0"
"0.748460000","216.58.216.195","172.16.69.226","443","39412","6","56"
"0.748475000","216.58.216.195","172.16.69.226","443","39412","6","42"
"0.748586000","172.16.69.226","216.58.216.195","39412","443","6","38"
"0.749395000","216.58.216.195","172.16.69.226","443","39412","6","0"
"0.758534000","173.194.46.68","172.16.69.226","443","48022","6","56"
"0.758662000","172.16.69.226","173.194.46.68","48022","443","6","38"
"0.758710000","173.194.46.68","172.16.69.226","443","48022","6","42"
"0.758808000","173.194.46.68","172.16.69.226","443","48022","6","0"
"0.764843000","216.58.216.195","172.16.69.226","443","39412","6","38"
"0.780454000","173.194.46.68","172.16.69.226","443","48022","6","38"
"0.780529000","172.16.69.226","173.194.46.68","48022","443","6","0"
"0.804410000","172.16.69.226","216.58.216.195","39412","443","6","0"
"0.919579000","172.16.69.1","172.16.69.255",,,"17",
