Generated with
tshark -r wired-prefetch.pcapng -T fields -e frame.number -e frame.time -e ip.src -e ip.dst -e tcp.len -E header=y -E separator=, -E quote=d -E occurrence=f  > wired-prefetch.csv

frame.number,frame.time,ip.src,ip.dst,tcp.len
"73","Dec  3, 2015 17:38:16.650685000","167.114.84.145","10.0.2.15","0"
"74","Dec  3, 2015 17:38:16.659084000","167.114.84.145","10.0.2.15","1448"
"75","Dec  3, 2015 17:38:16.659096000","10.0.2.15","167.114.84.145","0"
"76","Dec  3, 2015 17:38:16.659128000","167.114.84.145","10.0.2.15","1448"
"77","Dec  3, 2015 17:38:16.659132000","10.0.2.15","167.114.84.145","0"
"78","Dec  3, 2015 17:38:16.659292000","167.114.84.145","10.0.2.15","1448"
"79","Dec  3, 2015 17:38:16.659296000","10.0.2.15","167.114.84.145","0"
"80","Dec  3, 2015 17:38:16.659377000","167.114.84.145","10.0.2.15","1448"
"81","Dec  3, 2015 17:38:16.659382000","10.0.2.15","167.114.84.145","0"
"82","Dec  3, 2015 17:38:16.659500000","167.114.84.145","10.0.2.15","1448"
"83","Dec  3, 2015 17:38:16.659504000","10.0.2.15","167.114.84.145","0"
"84","Dec  3, 2015 17:38:16.659620000","167.114.84.145","10.0.2.15","1448"
"85","Dec  3, 2015 17:38:16.659623000","10.0.2.15","167.114.84.145","0"
"86","Dec  3, 2015 17:38:16.659741000","167.114.84.145","10.0.2.15","1448"
"87","Dec  3, 2015 17:38:16.659743000","10.0.2.15","167.114.84.145","0"
"88","Dec  3, 2015 17:38:16.659863000","167.114.84.145","10.0.2.15","1448"
"89","Dec  3, 2015 17:38:16.659866000","10.0.2.15","167.114.84.145","0"
"90","Dec  3, 2015 17:38:16.659979000","167.114.84.145","10.0.2.15","1448"
"91","Dec  3, 2015 17:38:16.659983000","10.0.2.15","167.114.84.145","0"
"92","Dec  3, 2015 17:38:16.660093000","167.114.84.145","10.0.2.15","1448"
"93","Dec  3, 2015 17:38:16.660096000","10.0.2.15","167.114.84.145","0"
"94","Dec  3, 2015 17:38:16.660176000","167.114.84.145","10.0.2.15","1448"
"95","Dec  3, 2015 17:38:16.660180000","10.0.2.15","167.114.84.145","0"
"96","Dec  3, 2015 17:38:16.660259000","167.114.84.145","10.0.2.15","976"
"97","Dec  3, 2015 17:38:16.660287000","10.0.2.15","167.114.84.145","543"
"98","Dec  3, 2015 17:38:16.660329000","167.114.84.145","10.0.2.15","0"
"99","Dec  3, 2015 17:38:16.985304000","10.0.2.15","167.114.84.145","543"
"100","Dec  3, 2015 17:38:16.985373000","167.114.84.145","10.0.2.15","0"
"101","Dec  3, 2015 17:38:17.010521000","10.0.2.15","167.114.84.145","543"
"102","Dec  3, 2015 17:38:17.010629000","167.114.84.145","10.0.2.15","0"
"103","Dec  3, 2015 17:38:17.163864000","167.114.84.145","10.0.2.15","543"
"104","Dec  3, 2015 17:38:17.202271000","10.0.2.15","167.114.84.145","0"
"105","Dec  3, 2015 17:38:17.275528000","167.114.84.145","10.0.2.15","1448"
"106","Dec  3, 2015 17:38:17.275528000","10.0.2.15","167.114.84.145","0"
"107","Dec  3, 2015 17:38:17.275593000","167.114.84.145","10.0.2.15","1448"
"108","Dec  3, 2015 17:38:17.275670000","10.0.2.15","167.114.84.145","0"
"109","Dec  3, 2015 17:38:17.275731000","167.114.84.145","10.0.2.15","731"
"110","Dec  3, 2015 17:38:17.275780000","10.0.2.15","167.114.84.145","0"
"111","Dec  3, 2015 17:38:17.275928000","167.114.84.145","10.0.2.15","1448"
"112","Dec  3, 2015 17:38:17.275941000","10.0.2.15","167.114.84.145","0"
"113","Dec  3, 2015 17:38:17.276061000","167.114.84.145","10.0.2.15","1448"
"114","Dec  3, 2015 17:38:17.276065000","10.0.2.15","167.114.84.145","0"
"115","Dec  3, 2015 17:38:17.276231000","167.114.84.145","10.0.2.15","1448"
"116","Dec  3, 2015 17:38:17.276235000","10.0.2.15","167.114.84.145","0"
"117","Dec  3, 2015 17:38:17.295425000","10.0.2.15","167.114.84.145","543"
"118","Dec  3, 2015 17:38:17.295634000","167.114.84.145","10.0.2.15","0"
"119","Dec  3, 2015 17:38:17.306093000","167.114.84.145","10.0.2.15","1397"
"120","Dec  3, 2015 17:38:17.307050000","167.114.84.145","10.0.2.15","1448"
"121","Dec  3, 2015 17:38:17.307062000","10.0.2.15","167.114.84.145","0"
"122","Dec  3, 2015 17:38:17.307169000","167.114.84.145","10.0.2.15","1448"
"123","Dec  3, 2015 17:38:17.307175000","10.0.2.15","167.114.84.145","0"
"124","Dec  3, 2015 17:38:17.313814000","167.114.84.145","10.0.2.15","1448"
"125","Dec  3, 2015 17:38:17.313823000","10.0.2.15","167.114.84.145","0"
"126","Dec  3, 2015 17:38:17.313916000","167.114.84.145","10.0.2.15","1448"
"127","Dec  3, 2015 17:38:17.313920000","10.0.2.15","167.114.84.145","0"
"128","Dec  3, 2015 17:38:17.314036000","167.114.84.145","10.0.2.15","1448"
"129","Dec  3, 2015 17:38:17.314041000","10.0.2.15","167.114.84.145","0"
"130","Dec  3, 2015 17:38:17.336782000","167.114.84.145","10.0.2.15","557"
"131","Dec  3, 2015 17:38:17.382550000","10.0.2.15","167.114.84.145","0"
"132","Dec  3, 2015 17:38:17.386107000","167.114.84.145","10.0.2.15","1448"
"133","Dec  3, 2015 17:38:17.386214000","10.0.2.15","167.114.84.145","0"
"134","Dec  3, 2015 17:38:17.386283000","167.114.84.145","10.0.2.15","1448"
"135","Dec  3, 2015 17:38:17.386319000","10.0.2.15","167.114.84.145","0"
"136","Dec  3, 2015 17:38:17.386349000","167.114.84.145","10.0.2.15","1448"
"137","Dec  3, 2015 17:38:17.386353000","10.0.2.15","167.114.84.145","0"
"138","Dec  3, 2015 17:38:17.386420000","167.114.84.145","10.0.2.15","1448"
"139","Dec  3, 2015 17:38:17.386424000","10.0.2.15","167.114.84.145","0"
"140","Dec  3, 2015 17:38:17.386649000","167.114.84.145","10.0.2.15","1448"
"141","Dec  3, 2015 17:38:17.386653000","10.0.2.15","167.114.84.145","0"
"142","Dec  3, 2015 17:38:17.404673000","167.114.84.145","10.0.2.15","1448"
"143","Dec  3, 2015 17:38:17.404723000","10.0.2.15","167.114.84.145","0"
"144","Dec  3, 2015 17:38:17.404796000","167.114.84.145","10.0.2.15","1194"
"145","Dec  3, 2015 17:38:17.410737000","10.0.2.15","167.114.84.145","0"
"146","Dec  3, 2015 17:38:17.410957000","10.0.2.15","167.114.84.145","543"
"147","Dec  3, 2015 17:38:17.411071000","167.114.84.145","10.0.2.15","0"
"148","Dec  3, 2015 17:38:17.499597000","167.114.84.145","10.0.2.15","543"
"149","Dec  3, 2015 17:38:17.503295000","10.0.2.15","167.114.84.145","543"
"150","Dec  3, 2015 17:38:17.503426000","167.114.84.145","10.0.2.15","0"
"151","Dec  3, 2015 17:38:17.505905000","10.0.2.15","167.114.84.145","1571"
"152","Dec  3, 2015 17:38:17.505910000","167.114.84.145","10.0.2.15","0"
"153","Dec  3, 2015 17:38:17.508728000","10.0.2.15","167.114.84.145","1057"
"154","Dec  3, 2015 17:38:17.508851000","167.114.84.145","10.0.2.15","0"
